OrderID,Product,Category,Brand,Platform,City,Price,Quantity,TotalAmount,Rating,Reviews,OrderDate
ORD409298,HP Pavilion Laptop,Computers,HP,Amazon,Jeddah,358.51,5,1792.55,1.52,1550,2024-01-01
ORD409332,Smartwatch FitPro,Wearables,FitPro,Souq,Dubai,18276.49,2,36552.98,4.63,3279,2024-01-01
ORD409580,HP Pavilion Laptop,Computers,HP,Jumia,Dubai,8732.2,1,8732.2,4.15,1025,2024-01-01
ORD409794,Bluetooth Headset,Accessories,JBL,Jumia,Marrakech,9814.81,3,29444.43,3.65,300,2024-01-01
ORD410095,iPhone 13,Electronics,Apple,Souq,Giza,15531.4,4,62125.6,3.87,223,2024-01-01
ORD410143,Bluetooth Headset,Accessories,JBL,Amazon,Marrakech,8279.96,3,24839.88,1.92,4050,2024-01-01
ORD410625,Smartwatch FitPro,Wearables,FitPro,Souq,Cairo,10828.65,1,10828.65,2.73,1141,2024-01-01
ORD410951,T-shirt Cotton,Fashion,Generic,Souq,Cairo,8050.82,2,16101.64,1.69,182,2024-01-01
ORD411483,Nivea Face Cream 50ml,Beauty,Nivea,Amazon,Dubai,494.84,4,1979.36,4.01,1365,2024-01-01
ORD411582,Nivea Face Cream 50ml,Beauty,Nivea,Souq,Casablanca,402.35,2,804.7,5.0,2199,2024-01-01
ORD411847,The Ordinary Serum 30ml,Beauty,The Ordinary,Souq,Casablanca,386.2,3,1158.6,4.1,1967,2024-01-01
ORD400025,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Casablanca,15915.39,5,79576.95,1.73,534,2024-01-02
ORD400230,Samsung Galaxy A14,Electronics,Samsung,Amazon,Dubai,5782.53,1,5782.53,2.85,3476,2024-01-02
ORD400231,Nivea Face Cream 50ml,Beauty,Nivea,Jumia,Riyadh,492.23,2,984.46,3.23,2112,2024-01-02
ORD400269,Xiaomi Redmi Note 12,Electronics,Xiaomi,Amazon,Casablanca,9267.52,3,27802.56,1.89,857,2024-01-02
ORD400666,HP Pavilion Laptop,Computers,HP,Jumia,Doha,18972.86,4,75891.44,4.23,918,2024-01-02
ORD400924,Samsung Galaxy A14,Electronics,Samsung,Souq,Marrakech,15620.89,4,62483.56,1.5,455,2024-01-02
ORD401142,Samsung Galaxy A14,Electronics,Samsung,Souq,Giza,3325.6,1,3325.6,1.28,3092,2024-01-02
ORD401620,Bluetooth Headset,Accessories,JBL,Souq,Riyadh,14212.6,3,42637.8,4.94,4821,2024-01-02
ORD402663,T-shirt Cotton,Fashion,Generic,Souq,Kuwait City,3137.49,1,3137.49,3.45,1107,2024-01-02
ORD402692,iPhone 13,Electronics,Apple,Jumia,Riyadh,9547.25,5,47736.25,3.02,478,2024-01-02
ORD403014,Nike Air Max,Fashion,Nike,Souq,Riyadh,4440.15,4,17760.6,4.82,159,2024-01-02
ORD403401,iPhone 13,Electronics,Apple,Souq,Abu Dhabi,5487.2,4,21948.8,3.43,3656,2024-01-02
ORD403625,Nike Air Max,Fashion,Nike,Jumia,Alexandria,11894.08,4,47576.32,3.41,1780,2024-01-02
ORD404531,Samsung Galaxy A14,Electronics,Samsung,Jumia,Alexandria,914.51,5,4572.55,3.09,1345,2024-01-02
ORD404611,iPhone 13,Electronics,Apple,Souq,Cairo,7126.2,2,14252.4,1.12,3913,2024-01-02
ORD405236,Xiaomi Redmi Note 12,Electronics,Xiaomi,Jumia,Marrakech,1364.76,3,4094.28,2.73,4351,2024-01-02
ORD405303,Samsung Galaxy A14,Electronics,Samsung,Souq,Jeddah,673.18,2,1346.36,1.2,4952,2024-01-02
ORD405792,T-shirt Cotton,Fashion,Generic,Souq,Dubai,13489.51,4,53958.04,2.21,3965,2024-01-02
ORD405808,Smartwatch FitPro,Wearables,FitPro,Souq,Cairo,13640.57,3,40921.71,3.21,1653,2024-01-02
ORD405861,iPhone 13,Electronics,Apple,Souq,Giza,17896.9,5,89484.5,4.87,3366,2024-01-02
ORD406092,Adidas Running Shoes,Fashion,Adidas,Amazon,Dubai,11679.01,2,23358.02,4.87,4567,2024-01-02
ORD406310,T-shirt Cotton,Fashion,Generic,Amazon,Riyadh,14113.28,3,42339.84,2.85,1518,2024-01-02
ORD406356,T-shirt Cotton,Fashion,Generic,Souq,Doha,16153.33,5,80766.65,1.46,2580,2024-01-02
ORD406538,Adidas Running Shoes,Fashion,Adidas,Jumia,Cairo,9933.34,2,19866.68,4.24,3278,2024-01-02
ORD406870,T-shirt Cotton,Fashion,Generic,Jumia,Casablanca,1464.13,4,5856.52,3.48,3854,2024-01-02
ORD407489,Dell Inspiron 3501,Computers,Dell,Jumia,Cairo,11272.18,5,56360.9,3.72,4526,2024-01-02
ORD407525,Smartwatch FitPro,Wearables,FitPro,Souq,Dubai,16288.08,4,65152.32,1.91,2065,2024-01-02
ORD407700,Bluetooth Headset,Accessories,JBL,Souq,Dubai,2275.89,4,9103.56,4.82,3834,2024-01-02
ORD408628,Philips Air Fryer XL,Home & Kitchen,Philips,Amazon,Alexandria,6508.62,3,19525.86,3.49,2592,2024-01-02
ORD409059,Maybelline Mascara,Beauty,Maybelline,Jumia,Riyadh,275.85,5,1379.25,3.03,227,2024-01-02
ORD409254,Samsung Galaxy A14,Electronics,Samsung,Souq,Cairo,6121.53,1,6121.53,1.65,3491,2024-01-02
ORD409348,Adidas Running Shoes,Fashion,Adidas,Souq,Kuwait City,13482.89,4,53931.56,1.06,4912,2024-01-02
ORD409666,Wilson Tennis Racket,Sports,Wilson,Jumia,Kuwait City,4124.44,2,8248.88,2.55,997,2024-01-02
ORD409875,HP Pavilion Laptop,Computers,HP,Jumia,Abu Dhabi,3315.93,1,3315.93,4.86,4198,2024-01-02
ORD410505,Dell Inspiron 3501,Computers,Dell,Jumia,Jeddah,3121.98,1,3121.98,3.47,1022,2024-01-02
ORD410594,The Ordinary Serum 30ml,Beauty,The Ordinary,Amazon,Doha,199.84,2,399.68,2.98,4145,2024-01-02
ORD410838,Bluetooth Headset,Accessories,JBL,Jumia,Marrakech,13724.11,4,54896.44,4.72,2553,2024-01-02
ORD411198,Philips Air Fryer XL,Home & Kitchen,Philips,Jumia,Doha,4981.13,5,24905.65,2.55,644,2024-01-02
ORD400045,Nike Air Max,Fashion,Nike,Jumia,Kuwait City,12387.97,4,49551.88,2.32,1568,2024-01-03
ORD400369,Bluetooth Headset,Accessories,JBL,Souq,Casablanca,13638.93,5,68194.65,5.0,3481,2024-01-03
ORD400552,Samsung Galaxy A14,Electronics,Samsung,Souq,Kuwait City,14533.1,4,58132.4,1.41,2000,2024-01-03
ORD400610,Xiaomi Redmi Note 12,Electronics,Xiaomi,Jumia,Jeddah,19399.34,3,58198.02,4.79,4143,2024-01-03
ORD400827,Decathlon Yoga Mat,Sports,Decathlon,Jumia,Cairo,283.87,3,851.61,3.17,1672,2024-01-03
ORD401104,T-shirt Cotton,Fashion,Generic,Jumia,Cairo,1323.56,1,1323.56,4.18,3474,2024-01-03
ORD401385,Adidas Running Shoes,Fashion,Adidas,Souq,Alexandria,7576.3,2,15152.6,2.25,1515,2024-01-03
ORD401613,Tefal Cookware Set 10pcs,Home & Kitchen,Tefal,Amazon,Giza,2759.33,1,2759.33,3.93,592,2024-01-03
ORD401815,Dell Inspiron 3501,Computers,Dell,Jumia,Abu Dhabi,13222.32,4,52889.28,4.38,952,2024-01-03
ORD402292,Nike Air Max,Fashion,Nike,Amazon,Jeddah,5073.22,4,20292.88,3.35,3259,2024-01-03
ORD402523,HP Pavilion Laptop,Computers,HP,Amazon,Jeddah,17897.87,5,89489.35,3.66,2989,2024-01-03
ORD403765,Dell Inspiron 3501,Computers,Dell,Jumia,Dubai,16028.08,2,32056.16,2.65,749,2024-01-03
ORD403791,Nike Air Max,Fashion,Nike,Jumia,Casablanca,8127.68,4,32510.72,3.81,1100,2024-01-03
ORD403901,Dell Inspiron 3501,Computers,Dell,Souq,Cairo,9608.24,1,9608.24,2.26,814,2024-01-03
ORD404006,Adidas Running Shoes,Fashion,Adidas,Amazon,Cairo,16087.95,1,16087.95,1.93,1659,2024-01-03
ORD404721,HP Pavilion Laptop,Computers,HP,Amazon,Dubai,2161.27,4,8645.08,1.74,1385,2024-01-03
ORD405048,Samsung Galaxy A14,Electronics,Samsung,Jumia,Giza,643.69,4,2574.76,2.29,637,2024-01-03
ORD405188,T-shirt Cotton,Fashion,Generic,Souq,Jeddah,18562.15,3,55686.45,2.82,3415,2024-01-03
ORD405509,Bluetooth Headset,Accessories,JBL,Jumia,Giza,6923.24,3,20769.72,4.13,4482,2024-01-03
ORD407111,Nike Air Max,Fashion,Nike,Souq,Cairo,10998.26,4,43993.04,2.2,2596,2024-01-03
ORD408485,HP Pavilion Laptop,Computers,HP,Souq,Dubai,3414.85,2,6829.7,3.83,3428,2024-01-03
ORD408765,Nike Air Max,Fashion,Nike,Souq,Casablanca,13191.46,5,65957.3,3.92,4499,2024-01-03
ORD410356,Adidas Running Shoes,Fashion,Adidas,Amazon,Abu Dhabi,15563.23,2,31126.46,3.42,1140,2024-01-03
ORD411207,Bluetooth Headset,Accessories,JBL,Souq,Casablanca,5394.99,4,21579.96,2.25,923,2024-01-03
ORD411332,Nike Training Gloves,Sports,Nike,Amazon,Alexandria,283.18,2,566.36,2.95,770,2024-01-03
ORD411402,Maybelline Mascara,Beauty,Maybelline,Amazon,Jeddah,390.91,3,1172.73,5.0,4977,2024-01-03
ORD411458,The Ordinary Serum 30ml,Beauty,The Ordinary,Jumia,Marrakech,761.07,1,761.07,1.76,2112,2024-01-03
ORD411668,HP Pavilion Laptop,Computers,HP,Souq,Cairo,12055.77,1,12055.77,3.56,1768,2024-01-03
ORD411962,Nike Air Max,Fashion,Nike,Amazon,Doha,3290.03,3,9870.09,3.44,1236,2024-01-03
ORD400064,T-shirt Cotton,Fashion,Generic,Jumia,Dubai,12309.76,3,36929.28,3.85,3862,2024-01-04
ORD401007,T-shirt Cotton,Fashion,Generic,Amazon,Riyadh,19011.56,4,76046.24,4.96,534,2024-01-04
ORD401242,Samsung Galaxy A14,Electronics,Samsung,Jumia,Jeddah,17312.31,5,86561.55,1.75,3390,2024-01-04
ORD401661,Samsung Galaxy A14,Electronics,Samsung,Jumia,Casablanca,2319.9,1,2319.9,2.81,4784,2024-01-04
ORD401886,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Alexandria,16835.51,2,33671.02,3.33,2696,2024-01-04
ORD402002,The Ordinary Serum 30ml,Beauty,The Ordinary,Souq,Cairo,502.27,4,2009.08,2.79,2334,2024-01-04
ORD402679,Adidas Running Shoes,Fashion,Adidas,Jumia,Jeddah,6227.92,4,24911.68,1.08,4326,2024-01-04
ORD402838,Wilson Tennis Racket,Sports,Wilson,Amazon,Cairo,2767.49,5,13837.45,1.75,3681,2024-01-04
ORD403219,T-shirt Cotton,Fashion,Generic,Souq,Dubai,16913.5,4,67654.0,3.78,1136,2024-01-04
ORD404572,HP Pavilion Laptop,Computers,HP,Jumia,Doha,9392.06,2,18784.12,4.84,2458,2024-01-04
ORD404839,Dell Inspiron 3501,Computers,Dell,Souq,Riyadh,16511.47,4,66045.88,3.36,2509,2024-01-04
ORD405625,Dell Inspiron 3501,Computers,Dell,Jumia,Marrakech,7846.65,2,15693.3,2.32,3885,2024-01-04
ORD406209,HP Pavilion Laptop,Computers,HP,Souq,Jeddah,4898.38,1,4898.38,1.53,1538,2024-01-04
ORD406442,iPhone 13,Electronics,Apple,Jumia,Dubai,1586.88,3,4760.64,2.53,2108,2024-01-04
ORD406477,Nike Air Max,Fashion,Nike,Amazon,Kuwait City,12766.19,4,51064.76,3.98,1906,2024-01-04
ORD407105,Samsung Galaxy A14,Electronics,Samsung,Jumia,Giza,8576.56,3,25729.68,3.13,3147,2024-01-04
ORD408011,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Jeddah,10571.49,1,10571.49,2.42,1582,2024-01-04
ORD408618,T-shirt Cotton,Fashion,Generic,Jumia,Doha,11913.0,5,59565.0,4.12,1883,2024-01-04
ORD409305,T-shirt Cotton,Fashion,Generic,Souq,Casablanca,9465.12,5,47325.6,4.99,3022,2024-01-04
ORD409329,Xiaomi Redmi Note 12,Electronics,Xiaomi,Jumia,Marrakech,15356.23,3,46068.69,2.9,3961,2024-01-04
ORD409822,Samsung Galaxy A14,Electronics,Samsung,Jumia,Abu Dhabi,2486.24,4,9944.96,4.64,3627,2024-01-04
ORD410025,Philips Air Fryer XL,Home & Kitchen,Philips,Jumia,Abu Dhabi,8812.63,4,35250.52,2.67,1430,2024-01-04
ORD410332,Maybelline Mascara,Beauty,Maybelline,Amazon,Cairo,242.8,2,485.6,1.62,3376,2024-01-04
ORD410714,Xiaomi Redmi Note 12,Electronics,Xiaomi,Amazon,Doha,9226.65,3,27679.95,4.07,509,2024-01-04
ORD411137,Tefal Cookware Set 10pcs,Home & Kitchen,Tefal,Souq,Doha,3651.18,3,10953.54,4.06,824,2024-01-04
ORD411171,Dyson V8 Vacuum Cleaner,Home & Kitchen,Dyson,Jumia,Abu Dhabi,11902.32,3,35706.96,2.59,542,2024-01-04
ORD411407,Adidas Running Shoes,Fashion,Adidas,Amazon,Casablanca,10306.48,1,10306.48,1.95,595,2024-01-04
ORD411687,IKEA Table Lamp,Home & Kitchen,IKEA,Amazon,Giza,705.89,4,2823.56,3.21,297,2024-01-04
ORD400190,Adidas Running Shoes,Fashion,Adidas,Souq,Alexandria,1018.0,2,2036.0,2.69,598,2024-01-05
ORD400393,Xiaomi Redmi Note 12,Electronics,Xiaomi,Jumia,Cairo,12575.83,1,12575.83,2.72,1145,2024-01-05
ORD400951,Dell Inspiron 3501,Computers,Dell,Jumia,Cairo,10514.03,1,10514.03,1.05,484,2024-01-05
ORD401160,iPhone 13,Electronics,Apple,Amazon,Cairo,10404.22,5,52021.1,2.32,535,2024-01-05
ORD401290,Philips Air Fryer XL,Home & Kitchen,Philips,Amazon,Alexandria,7691.22,1,7691.22,3.36,875,2024-01-05
ORD401294,Adidas Running Shoes,Fashion,Adidas,Souq,Abu Dhabi,16093.89,3,48281.67,2.46,2645,2024-01-05
ORD401919,iPhone 13,Electronics,Apple,Jumia,Kuwait City,2365.97,5,11829.85,3.6,4207,2024-01-05
ORD401974,Nike Air Max,Fashion,Nike,Souq,Jeddah,7842.35,3,23527.05,2.55,1686,2024-01-05
ORD402340,Samsung Galaxy A14,Electronics,Samsung,Amazon,Jeddah,15093.15,3,45279.45,4.85,3462,2024-01-05
ORD402401,Xiaomi Redmi Note 12,Electronics,Xiaomi,Amazon,Alexandria,7909.23,1,7909.23,2.92,4917,2024-01-05
ORD402459,Smartwatch FitPro,Wearables,FitPro,Souq,Abu Dhabi,7210.57,5,36052.85,1.5,691,2024-01-05
ORD403550,Samsung Galaxy A14,Electronics,Samsung,Amazon,Casablanca,12184.38,4,48737.52,2.05,4774,2024-01-05
ORD404202,T-shirt Cotton,Fashion,Generic,Souq,Abu Dhabi,6214.1,3,18642.3,1.45,396,2024-01-05
ORD404276,The Ordinary Serum 30ml,Beauty,The Ordinary,Amazon,Kuwait City,377.95,2,755.9,4.19,333,2024-01-05
ORD404697,iPhone 13,Electronics,Apple,Jumia,Riyadh,4615.67,1,4615.67,2.67,488,2024-01-05
ORD404727,Wilson Tennis Racket,Sports,Wilson,Jumia,Alexandria,4181.94,3,12545.82,3.57,1258,2024-01-05
ORD404990,Wilson Tennis Racket,Sports,Wilson,Amazon,Kuwait City,3520.98,5,17604.9,3.11,369,2024-01-05
ORD405596,Philips Air Fryer XL,Home & Kitchen,Philips,Souq,Marrakech,6595.13,5,32975.65,2.16,1323,2024-01-05
ORD406035,Dell Inspiron 3501,Computers,Dell,Jumia,Casablanca,6437.24,3,19311.72,2.56,767,2024-01-05
ORD406183,T-shirt Cotton,Fashion,Generic,Amazon,Jeddah,12608.46,2,25216.92,3.03,3242,2024-01-05
ORD406248,iPhone 13,Electronics,Apple,Jumia,Doha,13833.57,1,13833.57,1.37,3689,2024-01-05
ORD406800,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Casablanca,4442.21,4,17768.84,2.02,3014,2024-01-05
ORD406910,HP Pavilion Laptop,Computers,HP,Souq,Cairo,1689.74,3,5069.22,3.11,4910,2024-01-05
ORD406911,HP Pavilion Laptop,Computers,HP,Souq,Doha,7456.06,4,29824.24,1.67,2538,2024-01-05
ORD408189,Wilson Tennis Racket,Sports,Wilson,Jumia,Dubai,2837.7,1,2837.7,2.65,1690,2024-01-05
ORD408205,iPhone 13,Electronics,Apple,Jumia,Dubai,5971.66,2,11943.32,1.3,1340,2024-01-05
ORD408660,Adidas Running Shoes,Fashion,Adidas,Jumia,Marrakech,15177.54,3,45532.62,4.19,316,2024-01-05
ORD408836,iPhone 13,Electronics,Apple,Jumia,Giza,6367.46,3,19102.38,3.7,383,2024-01-05
ORD409046,Dell Inspiron 3501,Computers,Dell,Souq,Alexandria,4594.46,5,22972.3,2.93,365,2024-01-05
ORD409876,Dell Inspiron 3501,Computers,Dell,Jumia,Alexandria,19486.35,2,38972.7,4.06,4771,2024-01-05
ORD409891,Adidas Football,Sports,Adidas,Souq,Dubai,670.05,4,2680.2,2.99,3248,2024-01-05
ORD410294,Tefal Cookware Set 10pcs,Home & Kitchen,Tefal,Amazon,Giza,3254.5,3,9763.5,2.3,3548,2024-01-05
ORD411080,Nike Training Gloves,Sports,Nike,Amazon,Jeddah,634.88,3,1904.64,4.04,1773,2024-01-05
ORD411305,Adidas Football,Sports,Adidas,Amazon,Abu Dhabi,291.72,2,583.44,4.4,756,2024-01-05
ORD411628,IKEA Table Lamp,Home & Kitchen,IKEA,Jumia,Marrakech,419.0,4,1676.0,3.01,2772,2024-01-05
ORD400133,Adidas Running Shoes,Fashion,Adidas,Souq,Kuwait City,3563.05,2,7126.1,4.64,2442,2024-01-06
ORD400299,iPhone 13,Electronics,Apple,Souq,Dubai,9791.67,2,19583.34,2.69,2379,2024-01-06
ORD400322,Adidas Running Shoes,Fashion,Adidas,Amazon,Jeddah,10229.26,5,51146.3,4.25,2798,2024-01-06
ORD400397,Adidas Running Shoes,Fashion,Adidas,Souq,Giza,5681.05,4,22724.2,1.23,2805,2024-01-06
ORD401019,Nike Air Max,Fashion,Nike,Souq,Alexandria,9007.46,5,45037.3,4.38,3449,2024-01-06
ORD401203,Samsung Galaxy A14,Electronics,Samsung,Jumia,Marrakech,6270.48,4,25081.92,3.57,506,2024-01-06
ORD402029,Nike Air Max,Fashion,Nike,Souq,Riyadh,553.95,1,553.95,1.35,893,2024-01-06
ORD402142,Xiaomi Redmi Note 12,Electronics,Xiaomi,Amazon,Riyadh,9274.4,3,27823.2,3.44,1399,2024-01-06
ORD402603,HP Pavilion Laptop,Computers,HP,Amazon,Casablanca,6420.58,4,25682.32,4.36,2806,2024-01-06
ORD402806,Dell Inspiron 3501,Computers,Dell,Jumia,Doha,12364.73,5,61823.65,3.18,836,2024-01-06
ORD402866,Adidas Running Shoes,Fashion,Adidas,Amazon,Giza,15341.33,3,46023.99,4.23,236,2024-01-06
ORD402869,Smartwatch FitPro,Wearables,FitPro,Jumia,Alexandria,5596.44,2,11192.88,1.58,2714,2024-01-06
ORD402952,iPhone 13,Electronics,Apple,Jumia,Marrakech,14748.7,1,14748.7,3.25,1257,2024-01-06
ORD403717,Dell Inspiron 3501,Computers,Dell,Amazon,Marrakech,18444.07,5,92220.35,1.59,2523,2024-01-06
ORD403964,T-shirt Cotton,Fashion,Generic,Amazon,Casablanca,5667.91,1,5667.91,3.25,2162,2024-01-06
ORD404399,iPhone 13,Electronics,Apple,Amazon,Alexandria,12100.51,2,24201.02,4.63,3448,2024-01-06
ORD404458,Smartwatch FitPro,Wearables,FitPro,Amazon,Cairo,1389.21,1,1389.21,2.11,4372,2024-01-06
ORD404676,Dell Inspiron 3501,Computers,Dell,Amazon,Dubai,14768.27,5,73841.35,1.17,2751,2024-01-06
ORD405021,Bluetooth Headset,Accessories,JBL,Jumia,Abu Dhabi,7535.22,3,22605.66,3.65,4536,2024-01-06
ORD405925,Samsung Galaxy A14,Electronics,Samsung,Souq,Giza,5104.57,3,15313.71,4.76,12,2024-01-06
ORD406498,Adidas Running Shoes,Fashion,Adidas,Amazon,Dubai,11841.3,1,11841.3,2.85,4438,2024-01-06
ORD406658,iPhone 13,Electronics,Apple,Amazon,Alexandria,3621.14,3,10863.42,1.69,3252,2024-01-06
ORD407234,IKEA Table Lamp,Home & Kitchen,IKEA,Souq,Doha,485.87,1,485.87,2.82,2033,2024-01-06
ORD408241,Samsung Galaxy A14,Electronics,Samsung,Amazon,Giza,15036.89,5,75184.45,4.24,3571,2024-01-06
ORD408601,Nike Air Max,Fashion,Nike,Amazon,Cairo,7183.78,3,21551.34,4.86,2085,2024-01-06
ORD408653,HP Pavilion Laptop,Computers,HP,Souq,Casablanca,11639.43,2,23278.86,1.89,4648,2024-01-06
ORD408782,HP Pavilion Laptop,Computers,HP,Amazon,Abu Dhabi,18318.98,1,18318.98,2.17,464,2024-01-06
ORD408924,iPhone 13,Electronics,Apple,Amazon,Marrakech,18937.88,4,75751.52,2.27,2237,2024-01-06
ORD408945,T-shirt Cotton,Fashion,Generic,Souq,Dubai,2417.39,4,9669.56,4.32,3175,2024-01-06
ORD409058,Smartwatch FitPro,Wearables,FitPro,Souq,Doha,13150.11,5,65750.55,2.13,3380,2024-01-06
ORD409140,Bluetooth Headset,Accessories,JBL,Souq,Casablanca,8186.31,3,24558.93,3.57,4728,2024-01-06
ORD409661,Adidas Football,Sports,Adidas,Jumia,Cairo,410.8,5,2054.0,3.97,2291,2024-01-06
ORD409843,Samsung Galaxy A14,Electronics,Samsung,Souq,Casablanca,11025.6,1,11025.6,1.58,1498,2024-01-06
ORD410533,Philips Air Fryer XL,Home & Kitchen,Philips,Souq,Jeddah,9108.99,5,45544.95,1.12,946,2024-01-06
ORD410611,Nike Training Gloves,Sports,Nike,Souq,Riyadh,678.39,5,3391.95,2.62,3310,2024-01-06
ORD411817,Xiaomi Redmi Note 12,Electronics,Xiaomi,Jumia,Kuwait City,10364.81,3,31094.43,3.15,917,2024-01-06
ORD400023,Dell Inspiron 3501,Computers,Dell,Jumia,Jeddah,17087.44,3,51262.32,4.75,2187,2024-01-07
ORD400577,T-shirt Cotton,Fashion,Generic,Souq,Alexandria,7346.62,3,22039.86,3.41,974,2024-01-07
ORD400670,HP Pavilion Laptop,Computers,HP,Souq,Alexandria,17949.63,2,35899.26,4.89,3044,2024-01-07
ORD400756,Adidas Running Shoes,Fashion,Adidas,Jumia,Kuwait City,7724.8,4,30899.2,4.64,4941,2024-01-07
ORD401020,Xiaomi Redmi Note 12,Electronics,Xiaomi,Jumia,Marrakech,8492.57,2,16985.14,2.68,949,2024-01-07
ORD401077,iPhone 13,Electronics,Apple,Souq,Riyadh,12488.81,5,62444.05,2.03,5000,2024-01-07
ORD401285,T-shirt Cotton,Fashion,Generic,Souq,Alexandria,14755.64,4,59022.56,2.22,2432,2024-01-07
ORD401557,T-shirt Cotton,Fashion,Generic,Jumia,Riyadh,18245.05,5,91225.25,2.19,3246,2024-01-07
ORD401766,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Jeddah,11890.53,2,23781.06,3.02,2359,2024-01-07
ORD401828,Nike Air Max,Fashion,Nike,Jumia,Giza,7333.57,5,36667.85,2.23,2863,2024-01-07
ORD401839,Tefal Cookware Set 10pcs,Home & Kitchen,Tefal,Amazon,Abu Dhabi,3684.18,3,11052.54,4.37,616,2024-01-07
ORD402068,Dell Inspiron 3501,Computers,Dell,Jumia,Jeddah,10990.25,2,21980.5,1.61,1606,2024-01-07
ORD402606,T-shirt Cotton,Fashion,Generic,Souq,Casablanca,14577.07,5,72885.35,1.33,927,2024-01-07
ORD404090,Nike Air Max,Fashion,Nike,Amazon,Cairo,11054.16,5,55270.8,1.71,4999,2024-01-07
ORD404459,iPhone 13,Electronics,Apple,Amazon,Giza,12100.08,2,24200.16,2.8,3734,2024-01-07
ORD405036,Nike Air Max,Fashion,Nike,Jumia,Riyadh,17902.02,3,53706.06,3.45,3364,2024-01-07
ORD405336,T-shirt Cotton,Fashion,Generic,Amazon,Casablanca,17698.47,1,17698.47,2.38,2170,2024-01-07
ORD405434,Dell Inspiron 3501,Computers,Dell,Amazon,Casablanca,8913.68,1,8913.68,2.97,1215,2024-01-07
ORD405460,HP Pavilion Laptop,Computers,HP,Souq,Riyadh,15124.88,5,75624.4,4.88,4332,2024-01-07
ORD406109,Samsung Galaxy A14,Electronics,Samsung,Jumia,Alexandria,582.35,4,2329.4,2.05,1664,2024-01-07
ORD406493,Smartwatch FitPro,Wearables,FitPro,Souq,Cairo,19121.61,4,76486.44,2.5,732,2024-01-07
ORD406813,HP Pavilion Laptop,Computers,HP,Jumia,Casablanca,16957.44,1,16957.44,3.72,226,2024-01-07
ORD406839,Smartwatch FitPro,Wearables,FitPro,Amazon,Marrakech,10363.35,1,10363.35,4.07,2911,2024-01-07
ORD407066,HP Pavilion Laptop,Computers,HP,Jumia,Kuwait City,3371.41,1,3371.41,4.97,3744,2024-01-07
